date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:03:37	106/106	---MCZ	200	added ('OK')	text/plain	etag:W/%226656faff-68%22	https://radiustheme.com/robots.txt		(from )
21:03:38	261458/261458	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2012:32:38%20GMT	https://radiustheme.com/demo/wordpress/themes/techkit/home-2/	D:/templates/meshrd/radiustheme.com/demo/wordpress/themes/techkit/home-2/index.html	(from )
21:03:39	58071/58071	---MCZ	200	added ('OK')	text/css	etag:W/%22667a4a40-e2d7%22	https://radiustheme.com/demo/wordpress/themes/techkit/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css	D:/templates/meshrd/radiustheme.com/demo/wordpress/themes/techkit/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css	(from https://radiustheme.com/demo/wordpress/themes/techkit/home-2/)
21:03:40	677/677	---MCZ	200	added ('OK')	text/css	etag:W/%22667a4a40-2a5%22	https://radiustheme.com/demo/wordpress/themes/techkit/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css	D:/templates/meshrd/radiustheme.com/demo/wordpress/themes/techkit/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css	(from https://radiustheme.com/demo/wordpress/themes/techkit/home-2/)
21:03:41	669/669	---MCZ	200	added ('OK')	text/css	etag:W/%22667a4a40-29d%22	https://radiustheme.com/demo/wordpress/themes/techkit/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css	D:/templates/meshrd/radiustheme.com/demo/wordpress/themes/techkit/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css	(from https://radiustheme.com/demo/wordpress/themes/techkit/home-2/)
21:03:42	102220/102220	---MCZ	200	added ('OK')	text/css	etag:W/%226555c571-18f4c%22	https://radiustheme.com/demo/wordpress/themes/techkit/wp-content/themes/techkit/assets/css/font-awesome.min.css	D:/templates/meshrd/radiustheme.com/demo/wordpress/themes/techkit/wp-content/themes/techkit/assets/css/font-awesome.min.css	(from https://radiustheme.com/demo/wordpress/themes/techkit/home-2/)
21:03:43	3287/3287	---MCZ	200	added ('OK')	text/css	etag:W/%22667a4a48-cd7%22	https://radiustheme.com/demo/wordpress/themes/techkit/wp-content/plugins/woocommerce/assets/css/photoswipe/photoswipe.min.css	D:/templates/meshrd/radiustheme.com/demo/wordpress/themes/techkit/wp-content/plugins/woocommerce/assets/css/photoswipe/photoswipe.min.css	(from https://radiustheme.com/demo/wordpress/themes/techkit/home-2/)
21:03:44	7887/7887	---MCZ	200	added ('OK')	text/css	etag:W/%22667a4a48-1ecf%22	https://radiustheme.com/demo/wordpress/themes/techkit/wp-content/plugins/woocommerce/assets/css/photoswipe/default-skin/default-skin.min.css	D:/templates/meshrd/radiustheme.com/demo/wordpress/themes/techkit/wp-content/plugins/woocommerce/assets/css/photoswipe/default-skin/default-skin.min.css	(from https://radiustheme.com/demo/wordpress/themes/techkit/home-2/)
21:03:45	19820/19820	---MCZ	200	added ('OK')	text/css	etag:W/%22667a4a40-4d6c%22	https://radiustheme.com/demo/wordpress/themes/techkit/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css	D:/templates/meshrd/radiustheme.com/demo/wordpress/themes/techkit/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css	(from https://radiustheme.com/demo/wordpress/themes/techkit/home-2/)
21:03:46	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%22667a4a40-4057%22	https://radiustheme.com/demo/wordpress/themes/techkit/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css	D:/templates/meshrd/radiustheme.com/demo/wordpress/themes/techkit/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css	(from https://radiustheme.com/demo/wordpress/themes/techkit/home-2/)
21:03:48	1022335/1022335	---MCZ	200	added ('OK')	text/css	etag:W/%22667a9e02-f997f%22	https://radiustheme.com/demo/wordpress/themes/techkit/wp-content/cache/wpo-minify/1719296076/assets/wpo-minify-header-68d941b8.min.css	D:/templates/meshrd/radiustheme.com/demo/wordpress/themes/techkit/wp-content/cache/wpo-minify/1719296076/assets/wpo-minify-header-68d941b8.min.css	(from https://radiustheme.com/demo/wordpress/themes/techkit/home-2/)
21:03:49	87800/87800	---MCZ	200	added ('OK')	application/javascript	etag:W/%22667a604c-156f8%22	https://radiustheme.com/demo/wordpress/themes/techkit/wp-content/cache/wpo-minify/1719296076/assets/wpo-minify-header-347b056e.min.js	D:/templates/meshrd/radiustheme.com/demo/wordpress/themes/techkit/wp-content/cache/wpo-minify/1719296076/assets/wpo-minify-header-347b056e.min.js	(from https://radiustheme.com/demo/wordpress/themes/techkit/home-2/)
21:03:50	39825/39825	---MCZ	200	added ('OK')	application/javascript	etag:W/%22667a604c-9b91%22	https://radiustheme.com/demo/wordpress/themes/techkit/wp-content/cache/wpo-minify/1719296076/assets/wpo-minify-header-0b744546.min.js	D:/templates/meshrd/radiustheme.com/demo/wordpress/themes/techkit/wp-content/cache/wpo-minify/1719296076/assets/wpo-minify-header-0b744546.min.js	(from https://radiustheme.com/demo/wordpress/themes/techkit/home-2/)
